,Test Y,Model Predictions
325,2,3.0868425
326,1,1.4518552
327,1,3.9241028
328,0,1.2462447
329,1,0.8209743
330,0,0.46634924
331,0,0.44175756
332,2,4.7180214
333,3,5.2782564
334,0,0.62654537
335,2,3.3589566
336,0,0.5236582
337,2,0.71891725
338,6,6.3558826
339,0,0.9352138
340,0,0.58180845
341,1,0.51941895
342,2,3.287426
343,0,0.47522795
344,1,0.43272054
345,2,0.77687573
346,0,0.30724335
347,0,0.40754426
348,0,0.21371567
349,0,0.2726128
350,0,0.2537651
351,2,3.3012078
352,7,6.1390567
353,0,0.4050082
354,0,0.23669136
355,0,0.18310821
356,0,0.13982427
357,0,0.15324152
358,2,2.5759535
359,0,0.34473288
360,0,1.4371591
361,0,0.5357833
362,1,1.4371014
363,2,5.925857
364,132,117.2516
365,4,1.3012011
366,0,0.49075317
367,1,0.62626845
368,0,1.0173867
369,4,5.005005
370,4,1.5124662
371,3,1.9993837
372,2,1.7766855
373,0,0.2851845
374,2,4.49252
375,1,1.1204803
376,6,7.728568
377,0,1.6275152
378,0,0.9971986
379,1,1.0847769
380,0,0.84129906
381,1,1.2277174
382,3,1.34028
383,1,4.216163
384,4,4.1481047
385,0,0.5348257
386,1,1.7566736
387,2,1.3932054
388,0,0.6563351
389,3,1.0436963
390,1,1.536227
391,1,1.2103318
392,1,1.4980477
393,2,1.1640711
394,0,1.1571943
395,2,3.780353
396,0,2.0843737
397,0,0.28530312
398,1,1.8480297
399,2,0.43542933
400,0,0.8910131
401,0,0.3112142
402,1,0.45592368
403,6,2.7677894
404,3,0.5268124
405,1,0.46097982
406,0,0.4670714
407,5,4.7786493
408,0,0.45261848
409,0,0.7088878
410,1,0.8750876
411,0,0.8711835
412,0,0.8769553
413,0,0.86875325
414,0,1.4525123
415,0,1.7431989
416,0,1.0722468
417,1,6.5038
418,3,1.7273387
419,3,8.016402
420,1,1.3188971
421,2,7.5710626
422,9,7.877171
423,0,1.0399218
424,1,6.3469667
425,3,6.572938
426,0,3.9318213
427,36,49.484047
428,0,1.024556
429,1,4.543216
430,0,4.4754095
431,2,4.6720743
432,0,0.8480145
433,0,1.218566
434,1,0.9538111
435,1,0.938612
436,0,0.90326965
437,2,1.4341664
438,0,1.4107866
439,1,1.3400103
440,0,0.8531327
441,2,1.5609456
442,1,1.1958439
443,1,1.9081029
444,2,1.1082346
445,0,1.2414024
446,0,1.2288463
447,0,1.3018556
448,0,0.9738463
449,0,1.132749
450,0,1.282177
451,0,1.7738464
452,1,1.3651083
453,0,0.91621375
454,2,1.4404774
455,1,1.9917653
456,0,1.4422736
457,0,1.3953272
458,0,1.3224714
459,0,3.1883335
460,0,3.0291185
461,1,3.265811
462,2,3.6710868
463,0,1.6930629
464,1,2.9233208
465,1,1.329767
466,0,1.594573
467,0,1.3081977
468,0,4.3085957
469,2,4.253516
470,0,1.8631091
471,2,1.9721801
472,1,2.2943077
473,1,1.5968041
474,0,1.3086665
475,1,3.975132
476,1,2.1586342
477,1,3.9265175
478,0,2.8136022
479,0,1.2587605
480,3,3.7514963
481,0,1.1385146
482,1,0.88062555
483,0,2.7738953
484,3,1.3619608
485,0,2.5075307
486,1,1.3095366
487,3,2.723305
488,0,2.0130045
489,3,2.7112937
490,0,0.73246133
491,0,1.0060382
492,0,1.1588464
493,2,1.4451464
494,0,1.7327871
495,0,0.8447514
496,4,5.0889206
497,0,0.8296797
498,0,1.191083
499,0,1.0920106
500,2,1.9411731
501,1,2.834396
502,2,1.121629
503,8,5.6233354
504,1,1.5486054
505,1,1.1578662
506,2,2.046682
507,4,1.9853973
508,1,1.7705938
509,2,2.0622506
510,2,4.180436
511,2,0.9341868
512,0,1.1574922
513,0,1.6312164
514,0,1.6242065
515,3,2.5541735
516,0,2.2156353
517,0,3.976478
518,0,2.242705
519,1,2.8864355
520,0,2.862246
521,0,0.7459689
522,0,2.75416
523,1,2.8292766
524,2,4.551399
525,1,3.4724135
526,0,2.7806268
527,1,1.6549945
528,1,2.9936447
529,0,2.8947494
530,0,3.1589355
531,1,2.0417886
532,0,3.380065
533,4,1.5628169
534,0,2.7373872
535,1,2.519801
536,1,3.8104057
537,0,1.0190601
538,0,1.5837315
539,0,2.3994114
540,0,2.6505878
541,0,1.8497384
542,0,0.84040517
543,0,1.3152457
544,1,4.3113203
545,2,1.0921624
546,0,1.3627286
547,0,1.0700603
548,0,1.0951548
549,0,1.1517937
550,0,1.5396854
551,0,1.5938559
552,0,2.1987095
553,0,1.2636764
554,3,1.2799053
555,0,2.3469715
556,1,2.3851206
557,1,1.1162269
558,2,2.0627236
559,0,0.9855145
560,1,1.272694
561,1,1.2283146
562,1,1.072191
563,2,1.2156888
564,0,0.8079418
565,1,2.9620652
566,1,1.4155091
567,13,10.723837
568,1,1.00447
569,4,4.5700274
570,0,0.75587916
571,0,2.2109566
572,1,1.1824591
573,0,0.97886395
574,0,0.9322859
575,0,0.74974066
576,0,0.7946283
577,0,1.8604841
578,0,0.7796198
579,2,1.6192522
580,0,0.755329
581,0,0.07059348
582,2,0.9181763
583,4,4.0746975
584,1,0.51587933
585,1,0.5107583
586,0,0.5934928
587,0,0.36091888
588,0,4.0388355
589,3,0.7650567
590,0,0.5601833
591,1,0.5795373
592,7,3.8229694
593,0,2.0762205
594,0,0.9924203
595,0,0.93692213
596,0,3.2340488
597,0,1.8344543
598,1,5.326723
599,2,3.4827757
600,2,3.2410693
601,1,1.3408272
602,0,1.0731412
603,0,1.9080529
604,0,1.0216314
605,1,2.2893639
606,0,1.1018767
607,0,0.9916866
608,1,1.3741176
609,0,1.4755042
610,1,4.3507075
611,0,1.3423233
612,3,2.736383
613,10,16.291245
614,127,126.150505
615,2,1.6924592
616,8,5.126966
617,1,1.9036647
618,2,2.8441994
619,0,1.0755405
620,2,1.1159674
621,0,0.8799921
622,0,1.4645617
623,0,1.053238
624,1,1.3700224
625,2,1.2489836
626,0,1.0249201
627,0,0.8126988
628,0,1.0996518
629,1,1.3134809
630,2,1.0071521
631,0,0.772151
632,2,1.1254748
633,2,3.0697856
634,0,1.1643107
635,0,0.86813265
636,5,5.032859
637,5,4.9609776
638,0,1.2228031
639,0,0.9741036
640,1,0.8199781
641,0,0.72987264
642,0,2.9196596
643,1,0.70129085
644,0,1.3491436
645,0,1.2143998
646,0,0.6531156
647,0,0.74389297
648,1,0.68855095
649,1,1.7812986
650,0,0.6890494
651,0,1.5159856
